warning_value,average_value,province_name,station_id
16.28210251843565,14.499817567567566,West-Vlaanderen,1
223.9155381415583,224.5,Antwerpen,105720
25.86306007589216,24.49002614379085,Vlaams-Brabant,25
5.939494439076851,4.6842054794520545,Oost-Vlaanderen,433
24.110177475544475,23.020643356643355,Oost-Vlaanderen,4384
7.932284437214085,6.695173913043478,Oost-Vlaanderen,4747
5.2635717702303175,3.380774647887324,West-Vlaanderen,4387
49.01082619475859,48.148438356164384,Oost-Vlaanderen,4394
38.79585525069433,37.567915492957745,Limburg,4396
27.91985315704496,26.59270138888889,Limburg,4404
21.214421327477375,19.477129496402878,West-Vlaanderen,4408
15.832162400574907,14.04577304964539,West-Vlaanderen,4411
4.8655220875557,3.6004362416107383,Oost-Vlaanderen,377
16.248911664911788,14.46632394366197,West-Vlaanderen,4401
145.52067745196743,144.89149659863946,Luik,416
35.89918012436248,34.76853741496599,Antwerpen,387
26.605545091298193,25.53877397260274,Oost-Vlaanderen,390
76.11482012465899,75.20018791946309,Vlaams-Brabant,340
27.215717820307866,25.88214285714286,Limburg,408
23.974560340770957,22.58429931972789,Vlaams-Brabant,164
13.502694905972369,12.016908450704225,Vlaams-Brabant,4636
1.015397864820155,-0.28480921052631575,Oost-Vlaanderen,235
26.83353290323049,25.46935172413793,Vlaams-Brabant,4471
28.1552510903265,26.80312676056338,Vlaams-Brabant,4481
4.706370972132478,3.4398333333333335,Oost-Vlaanderen,4483
22.951664691745144,21.8515625,Oost-Vlaanderen,4486
9.667336792197693,7.824711267605633,West-Vlaanderen,4487
2.8707889513490463,1.5875069444444445,Oost-Vlaanderen,4491
47.61413486716412,46.46663636363637,Limburg,4498
15.121693020766685,13.328822695035461,West-Vlaanderen,4503
6.122755167434628,4.869137931034483,Oost-Vlaanderen,4505
12.64569878048494,11.451584507042254,Oost-Vlaanderen,4506
16.581916027942594,15.423708333333334,Oost-Vlaanderen,4511
35.72565294513113,34.74207638888889,Oost-Vlaanderen,4512
23.036440964601237,21.315769784172662,West-Vlaanderen,4521
26.823662823368462,25.459391608391606,Vlaams-Brabant,4523
22.972457478895908,21.573055172413792,Vlaams-Brabant,4531
23.206556486415263,21.809289655172414,Vlaams-Brabant,4532
4.018066813305455,2.5966013071895424,Antwerpen,17
22.636825815165995,21.234361842105262,Vlaams-Brabant,65
5.589388071348381,4.330905405405406,Oost-Vlaanderen,40
21.806005111029137,20.42308219178082,Limburg,24
4.938040729632028,3.5249673202614384,Antwerpen,57
2.4646762396481225,0.9053197278911564,Limburg,69
102.04968184170428,101.39875,Limburg,4533
32.576323025582084,31.264528169014085,Vlaams-Brabant,4535
15.424548536759383,14.255783216783216,Oost-Vlaanderen,4540
10.560757436433388,9.347624113475177,Oost-Vlaanderen,4543
6.801218082932339,5.553789855072464,Oost-Vlaanderen,4552
13.305543066330399,11.496105633802818,West-Vlaanderen,4555
5.074118261972483,3.8109352517985613,Oost-Vlaanderen,4556
4.57141455842755,3.3036458333333334,Oost-Vlaanderen,4559
3.57189317217789,1.6736643835616438,West-Vlaanderen,4563
9.083087235165719,7.856474452554744,Oost-Vlaanderen,4566
12.211720951188994,11.013647887323945,Oost-Vlaanderen,4567
21.497830629842042,19.76312408759124,West-Vlaanderen,4574
17.081919615885873,15.628783216783217,Vlaams-Brabant,4582
12.749139761302565,10.934626760563381,West-Vlaanderen,4596
42.65514916715945,41.46241428571429,Limburg,4601
23.964652104296608,22.5743006993007,Vlaams-Brabant,4620
25.928231334631445,24.855281690140846,Oost-Vlaanderen,4622
24.143675779415478,22.75495744680851,Vlaams-Brabant,4623
9.923344252248114,8.083054054054054,West-Vlaanderen,146
8.970668547283312,7.121687943262412,West-Vlaanderen,4639
4.8943552938838035,3.0081901408450706,West-Vlaanderen,4641
31.71281403025594,30.692631944444443,Oost-Vlaanderen,4663
11.461445723139665,10.256528571428571,Oost-Vlaanderen,4666
5.762564900911911,4.505661971830985,Oost-Vlaanderen,4673
8.112054350400864,6.255241379310345,West-Vlaanderen,4676
2.8146971305426396,1.530903448275862,Oost-Vlaanderen,4677
20.469930963074752,19.34719014084507,Oost-Vlaanderen,4687
29.547781054502654,28.50784931506849,Oost-Vlaanderen,4702
16.1776437595957,15.015748251748251,Oost-Vlaanderen,4703
20.368551421670197,18.62354347826087,West-Vlaanderen,4708
32.31173267431569,31.297013986013987,Oost-Vlaanderen,4709
21.668340680185413,20.284161971830986,Limburg,4718
21.084752079044367,19.96761971830986,Oost-Vlaanderen,4721
17.18808820813274,15.735920289855073,Vlaams-Brabant,4731
5.063281860939391,3.8000000000000003,Oost-Vlaanderen,4735
28.63951798611185,27.291811188811188,Vlaams-Brabant,4743
17.115518314116635,15.662688405797102,Vlaams-Brabant,5055
37.744708284656376,36.50717985611511,Limburg,4754
28.028384753347627,26.702223021582732,Limburg,4757
4.378535041215796,3.1090068493150684,Oost-Vlaanderen,4764
40.35586984615274,39.115040816326534,Vlaams-Brabant,12
3.3373885122041558,1.4370205479452056,West-Vlaanderen,4770
4.897111838540594,3.0109718309859153,West-Vlaanderen,4791
24.80886065899558,23.7257,Oost-Vlaanderen,4811
14.530458499146118,13.204888111888112,Antwerpen,4814
8.044679448211525,6.808594202898551,Oost-Vlaanderen,4826
10.676239115177486,8.842816901408451,West-Vlaanderen,4828
9.599114164943328,8.377208633093526,Oost-Vlaanderen,4861
7.279123894278128,6.036055172413794,Oost-Vlaanderen,4862
40.1409911673891,39.19769178082192,Oost-Vlaanderen,4869
33.66973162965585,32.36791095890411,Vlaams-Brabant,4875
